frame.time,frame.len,frame.protocols,eth.src,eth.dst,ip.dst,ip.src,ip.flags,ip.ttl,ip.proto,ip.checksum,ip.tos,tcp.srcport,tcp.dstport,tcp.flags,tcp.window_size_value,tcp.window_size_scalefactor,tcp.checksum,tcp.options,tcp.pdu.size,udp.srcport,udp.dstport,label_Benign
44,67,0,1,0,0,1,0,61,17,10,,,,,,,,,,60087,5683,True
45,56,1,0,1,1,0,0,64,17,184,,,,,,,,,,5683,60087,True
46,62,0,1,0,0,1,0,61,17,163,,,,,,,,,,51610,5683,True
47,56,1,0,1,1,0,0,64,17,183,,,,,,,,,,5683,51610,True
48,64,0,1,0,0,1,0,61,17,137,,,,,,,,,,38265,5683,True
49,58,1,0,1,1,0,0,64,17,181,,,,,,,,,,5683,38265,True
50,65,0,1,0,0,1,0,61,17,145,,,,,,,,,,36812,5683,True
51,56,1,0,1,1,0,0,64,17,180,,,,,,,,,,5683,36812,True
52,61,0,1,0,0,1,0,61,17,64,,,,,,,,,,48653,5683,True
53,58,1,0,1,1,0,0,64,17,179,,,,,,,,,,5683,48653,True
54,63,0,1,0,0,1,0,61,17,237,,,,,,,,,,55890,5683,True
55,474,0,0,1,1,0,0,64,17,146,,,,,,,,,,5683,55890,True
56,67,0,1,0,0,1,0,61,17,108,,,,,,,,,,38869,5683,True
57,56,1,0,1,1,0,0,64,17,203,,,,,,,,,,5683,38869,True
58,62,0,1,0,0,1,0,61,17,206,,,,,,,,,,56258,5683,True
59,56,1,0,1,1,0,0,64,17,200,,,,,,,,,,5683,56258,True
60,64,0,1,0,0,1,0,61,17,19,,,,,,,,,,60253,5683,True
61,58,1,0,1,1,0,0,64,17,199,,,,,,,,,,5683,60253,True
62,65,0,1,0,0,1,0,61,17,187,,,,,,,,,,59656,5683,True
63,56,1,0,1,1,0,0,64,17,198,,,,,,,,,,5683,59656,True
64,61,0,1,0,0,1,0,61,17,39,,,,,,,,,,58950,5683,True
65,58,1,0,1,1,0,0,64,17,197,,,,,,,,,,5683,58950,True
66,67,0,1,0,0,1,0,61,17,241,,,,,,,,,,39855,5683,True
67,55,1,0,1,1,0,0,64,17,9,,,,,,,,,,5683,39855,True
68,62,0,1,0,0,1,0,61,17,159,,,,,,,,,,52966,5683,True
69,56,1,0,1,1,0,0,64,17,8,,,,,,,,,,5683,52966,True
70,64,0,1,0,0,1,0,61,17,154,,,,,,,,,,53592,5683,True
71,58,1,0,1,1,0,0,64,17,7,,,,,,,,,,5683,53592,True
72,65,0,1,0,0,1,0,61,17,152,,,,,,,,,,46937,5683,True
73,56,1,0,1,1,0,0,64,17,6,,,,,,,,,,5683,46937,True
74,61,0,1,0,0,1,0,61,17,240,,,,,,,,,,38511,5683,True
75,58,1,0,1,1,0,0,64,17,4,,,,,,,,,,5683,38511,True
76,63,0,1,0,0,1,0,61,17,224,,,,,,,,,,47926,5683,True
77,474,0,0,1,1,0,0,64,17,174,,,,,,,,,,5683,47926,True
78,67,0,1,0,0,1,0,61,17,216,,,,,,,,,,36339,5683,True
79,56,1,0,1,1,0,0,64,17,32,,,,,,,,,,5683,36339,True
80,62,0,1,0,0,1,0,61,17,160,,,,,,,,,,57084,5683,True
81,53,1,0,1,1,0,0,64,17,31,,,,,,,,,,5683,57084,True
82,64,0,1,0,0,1,0,61,17,67,,,,,,,,,,53716,5683,True
83,58,1,0,1,1,0,0,64,17,30,,,,,,,,,,5683,53716,True
84,65,0,1,0,0,1,0,61,17,22,,,,,,,,,,34949,5683,True
85,56,1,0,1,1,0,0,64,17,29,,,,,,,,,,5683,34949,True
86,61,0,1,0,0,1,0,61,17,239,,,,,,,,,,45669,5683,True
87,58,1,0,1,1,0,0,64,17,27,,,,,,,,,,5683,45669,True
88,67,0,1,0,0,1,0,61,17,71,,,,,,,,,,41103,5683,True
89,56,1,0,1,1,0,0,64,17,177,,,,,,,,,,5683,41103,True
90,62,0,1,0,0,1,0,61,17,157,,,,,,,,,,47423,5683,True
91,56,1,0,1,1,0,0,64,17,175,,,,,,,,,,5683,47423,True
92,64,0,1,0,0,1,0,61,17,147,,,,,,,,,,58512,5683,True
93,58,1,0,1,1,0,0,64,17,173,,,,,,,,,,5683,58512,True
94,65,0,1,0,0,1,0,61,17,233,,,,,,,,,,33664,5683,True
95,56,1,0,1,1,0,0,64,17,172,,,,,,,,,,5683,33664,True
96,61,0,1,0,0,1,0,61,17,41,,,,,,,,,,47503,5683,True
97,57,1,0,1,1,0,0,64,17,171,,,,,,,,,,5683,47503,True
98,63,0,1,0,0,1,0,61,17,94,,,,,,,,,,56765,5683,True
99,474,0,0,1,1,0,0,64,17,130,,,,,,,,,,5683,56765,True
100,67,0,1,0,0,1,0,61,17,182,,,,,,,,,,46414,5683,True
101,56,1,0,1,1,0,0,64,17,83,,,,,,,,,,5683,46414,True
102,62,0,1,0,0,1,0,61,17,70,,,,,,,,,,56775,5683,True
103,56,1,0,1,1,0,0,64,17,82,,,,,,,,,,5683,56775,True
104,64,0,1,0,0,1,0,61,17,156,,,,,,,,,,45954,5683,True
105,58,1,0,1,1,0,0,64,17,80,,,,,,,,,,5683,45954,True
106,65,0,1,0,0,1,0,61,17,114,,,,,,,,,,59002,5683,True
107,56,1,0,1,1,0,0,64,17,78,,,,,,,,,,5683,59002,True
108,61,0,1,0,0,1,0,61,17,205,,,,,,,,,,48576,5683,True
109,58,1,0,1,1,0,0,64,17,75,,,,,,,,,,5683,48576,True
110,63,0,1,0,0,1,0,61,17,202,,,,,,,,,,37414,5683,True
111,474,0,0,1,1,0,0,64,17,214,,,,,,,,,,5683,37414,True
112,67,0,1,0,0,1,0,61,17,66,,,,,,,,,,53180,5683,True
113,56,1,0,1,1,0,0,64,17,218,,,,,,,,,,5683,53180,True
114,62,0,1,0,0,1,0,61,17,125,,,,,,,,,,57333,5683,True
115,56,1,0,1,1,0,0,64,17,213,,,,,,,,,,5683,57333,True
116,64,0,1,0,0,1,0,61,17,209,,,,,,,,,,37933,5683,True
117,58,1,0,1,1,0,0,64,17,212,,,,,,,,,,5683,37933,True
118,65,0,1,0,0,1,0,61,17,236,,,,,,,,,,32946,5683,True
119,56,1,0,1,1,0,0,64,17,210,,,,,,,,,,5683,32946,True
120,61,0,1,0,0,1,0,61,17,139,,,,,,,,,,59592,5683,True
121,58,1,0,1,1,0,0,64,17,208,,,,,,,,,,5683,59592,True
122,67,0,1,0,0,1,0,61,17,20,,,,,,,,,,35201,5683,True
123,56,1,0,1,1,0,0,64,17,102,,,,,,,,,,5683,35201,True
124,62,0,1,0,0,1,0,61,17,124,,,,,,,,,,60260,5683,True
125,55,1,0,1,1,0,0,64,17,100,,,,,,,,,,5683,60260,True
126,64,0,1,0,0,1,0,61,17,140,,,,,,,,,,43928,5683,True
127,58,1,0,1,1,0,0,64,17,99,,,,,,,,,,5683,43928,True
128,65,0,1,0,0,1,0,61,17,104,,,,,,,,,,35593,5683,True
129,56,1,0,1,1,0,0,64,17,98,,,,,,,,,,5683,35593,True
130,61,0,1,0,0,1,0,61,17,153,,,,,,,,,,41375,5683,True
131,58,1,0,1,1,0,0,64,17,97,,,,,,,,,,5683,41375,True
132,63,0,1,0,0,1,0,61,17,15,,,,,,,,,,36984,5683,True
133,474,0,0,1,1,0,0,64,17,158,,,,,,,,,,5683,36984,True
134,67,0,1,0,0,1,0,61,17,135,,,,,,,,,,58129,5683,True
135,56,1,0,1,1,0,0,64,17,59,,,,,,,,,,5683,58129,True
136,62,0,1,0,0,1,0,61,17,117,,,,,,,,,,54842,5683,True
137,56,1,0,1,1,0,0,64,17,58,,,,,,,,,,5683,54842,True
138,64,0,1,0,0,1,0,61,17,116,,,,,,,,,,52556,5683,True
139,58,1,0,1,1,0,0,64,17,52,,,,,,,,,,5683,52556,True
140,65,0,1,0,0,1,0,61,17,3,,,,,,,,,,47397,5683,True
141,56,1,0,1,1,0,0,64,17,51,,,,,,,,,,5683,47397,True
142,61,0,1,0,0,1,0,61,17,176,,,,,,,,,,41321,5683,True
143,58,1,0,1,1,0,0,64,17,48,,,,,,,,,,5683,41321,True
144,67,0,1,0,0,1,0,61,17,220,,,,,,,,,,53806,5683,True
145,56,1,0,1,1,0,0,64,17,74,,,,,,,,,,5683,53806,True
146,62,0,1,0,0,1,0,61,17,40,,,,,,,,,,59101,5683,True
147,56,1,0,1,1,0,0,64,17,73,,,,,,,,,,5683,59101,True
148,64,0,1,0,0,1,0,61,17,93,,,,,,,,,,38869,5683,True
149,58,1,0,1,1,0,0,64,17,72,,,,,,,,,,5683,38869,True
150,65,0,1,0,0,1,0,61,17,95,,,,,,,,,,53406,5683,True
151,56,1,0,1,1,0,0,64,17,69,,,,,,,,,,5683,53406,True
152,61,0,1,0,0,1,0,61,17,0,,,,,,,,,,49329,5683,True
153,58,1,0,1,1,0,0,64,17,68,,,,,,,,,,5683,49329,True
154,63,0,1,0,0,1,0,61,17,168,,,,,,,,,,43764,5683,True
155,474,0,0,1,1,0,0,64,17,33,,,,,,,,,,5683,43764,True
156,67,0,1,0,0,1,0,61,17,221,,,,,,,,,,44226,5683,True
157,56,1,0,1,1,0,0,64,17,92,,,,,,,,,,5683,44226,True
158,62,0,1,0,0,1,0,61,17,194,,,,,,,,,,33976,5683,True
159,56,1,0,1,1,0,0,64,17,91,,,,,,,,,,5683,33976,True
160,64,0,1,0,0,1,0,61,17,227,,,,,,,,,,34964,5683,True
161,58,1,0,1,1,0,0,64,17,90,,,,,,,,,,5683,34964,True
162,65,0,1,0,0,1,0,61,17,138,,,,,,,,,,43620,5683,True
163,56,1,0,1,1,0,0,64,17,89,,,,,,,,,,5683,43620,True
164,61,0,1,0,0,1,0,61,17,245,,,,,,,,,,39517,5683,True
165,58,1,0,1,1,0,0,64,17,86,,,,,,,,,,5683,39517,True
166,67,0,1,0,0,1,0,61,17,76,,,,,,,,,,39761,5683,True
167,56,1,0,1,1,0,0,64,17,113,,,,,,,,,,5683,39761,True
168,62,0,1,0,0,1,0,61,17,122,,,,,,,,,,34394,5683,True
169,53,1,0,1,1,0,0,64,17,111,,,,,,,,,,5683,34394,True
170,64,0,1,0,0,1,0,61,17,249,,,,,,,,,,47618,5683,True
171,58,1,0,1,1,0,0,64,17,110,,,,,,,,,,5683,47618,True
172,65,0,1,0,0,1,0,61,17,189,,,,,,,,,,56130,5683,True
173,56,1,0,1,1,0,0,64,17,107,,,,,,,,,,5683,56130,True
174,61,0,1,0,0,1,0,61,17,185,,,,,,,,,,51665,5683,True
175,58,1,0,1,1,0,0,64,17,106,,,,,,,,,,5683,51665,True
176,63,0,1,0,0,1,0,61,17,37,,,,,,,,,,54858,5683,True
177,474,0,0,1,1,0,0,64,17,96,,,,,,,,,,5683,54858,True
178,67,0,1,0,0,1,0,61,17,161,,,,,,,,,,59035,5683,True
179,56,1,0,1,1,0,0,64,17,49,,,,,,,,,,5683,59035,True
180,62,0,1,0,0,1,0,61,17,54,,,,,,,,,,46686,5683,True
181,56,1,0,1,1,0,0,64,17,47,,,,,,,,,,5683,46686,True
182,64,0,1,0,0,1,0,61,17,186,,,,,,,,,,58858,5683,True
183,57,1,0,1,1,0,0,64,17,46,,,,,,,,,,5683,58858,True
184,65,0,1,0,0,1,0,61,17,36,,,,,,,,,,34915,5683,True
185,56,1,0,1,1,0,0,64,17,45,,,,,,,,,,5683,34915,True
186,61,0,1,0,0,1,0,61,17,77,,,,,,,,,,41592,5683,True
187,57,1,0,1,1,0,0,64,17,43,,,,,,,,,,5683,41592,True
188,67,0,1,0,0,1,0,61,17,123,,,,,,,,,,55663,5683,True
189,56,1,0,1,1,0,0,64,17,121,,,,,,,,,,5683,55663,True
190,62,0,1,0,0,1,0,61,17,105,,,,,,,,,,60737,5683,True
191,56,1,0,1,1,0,0,64,17,120,,,,,,,,,,5683,60737,True
192,64,0,1,0,0,1,0,61,17,217,,,,,,,,,,59989,5683,True
193,58,1,0,1,1,0,0,64,17,119,,,,,,,,,,5683,59989,True
194,65,0,1,0,0,1,0,61,17,222,,,,,,,,,,53716,5683,True
195,56,1,0,1,1,0,0,64,17,118,,,,,,,,,,5683,53716,True
196,61,0,1,0,0,1,0,61,17,149,,,,,,,,,,60190,5683,True
197,58,1,0,1,1,0,0,64,17,112,,,,,,,,,,5683,60190,True
198,63,0,1,0,0,1,0,61,17,101,,,,,,,,,,59450,5683,True
199,474,0,0,1,1,0,0,64,17,129,,,,,,,,,,5683,59450,True
200,67,0,1,0,0,1,0,61,17,225,,,,,,,,,,32990,5683,True
201,56,1,0,1,1,0,0,64,17,63,,,,,,,,,,5683,32990,True
202,62,0,1,0,0,1,0,61,17,128,,,,,,,,,,50189,5683,True
203,56,1,0,1,1,0,0,64,17,62,,,,,,,,,,5683,50189,True
204,64,0,1,0,0,1,0,61,17,143,,,,,,,,,,57781,5683,True
205,58,1,0,1,1,0,0,64,17,61,,,,,,,,,,5683,57781,True
206,65,0,1,0,0,1,0,61,17,201,,,,,,,,,,35881,5683,True
207,56,1,0,1,1,0,0,64,17,60,,,,,,,,,,5683,35881,True
208,61,0,1,0,0,1,0,61,17,55,,,,,,,,,,47649,5683,True
209,57,1,0,1,1,0,0,64,17,57,,,,,,,,,,5683,47649,True
210,67,0,1,0,0,1,0,61,17,65,,,,,,,,,,32848,5683,True
211,56,1,0,1,1,0,0,64,17,88,,,,,,,,,,5683,32848,True
212,62,0,1,0,0,1,0,61,17,53,,,,,,,,,,47600,5683,True
213,56,1,0,1,1,0,0,64,17,85,,,,,,,,,,5683,47600,True
214,64,0,1,0,0,1,0,61,17,226,,,,,,,,,,54534,5683,True
215,58,1,0,1,1,0,0,64,17,84,,,,,,,,,,5683,54534,True
216,65,0,1,0,0,1,0,61,17,115,,,,,,,,,,34496,5683,True
217,56,1,0,1,1,0,0,64,17,81,,,,,,,,,,5683,34496,True
218,61,0,1,0,0,1,0,61,17,18,,,,,,,,,,46928,5683,True
219,58,1,0,1,1,0,0,64,17,79,,,,,,,,,,5683,46928,True
220,63,0,1,0,0,1,0,61,17,253,,,,,,,,,,52252,5683,True
221,474,0,0,1,1,0,0,64,17,155,,,,,,,,,,5683,52252,True
222,67,0,1,0,0,1,0,61,17,148,,,,,,,,,,58319,5683,True
223,55,1,0,1,1,0,0,64,17,170,,,,,,,,,,5683,58319,True
224,62,0,1,0,0,1,0,61,17,178,,,,,,,,,,41941,5683,True
225,56,1,0,1,1,0,0,64,17,167,,,,,,,,,,5683,41941,True
226,64,0,1,0,0,1,0,61,17,142,,,,,,,,,,37115,5683,True
227,58,1,0,1,1,0,0,64,17,166,,,,,,,,,,5683,37115,True
228,65,0,1,0,0,1,0,61,17,223,,,,,,,,,,56552,5683,True
229,56,1,0,1,1,0,0,64,17,165,,,,,,,,,,5683,56552,True
230,61,0,1,0,0,1,0,61,17,164,,,,,,,,,,46108,5683,True
231,58,1,0,1,1,0,0,64,17,162,,,,,,,,,,5683,46108,True
232,67,0,1,0,0,1,0,61,17,207,,,,,,,,,,34181,5683,True
233,55,1,0,1,1,0,0,64,17,193,,,,,,,,,,5683,34181,True
234,62,0,1,0,0,1,0,61,17,38,,,,,,,,,,53501,5683,True
235,56,1,0,1,1,0,0,64,17,192,,,,,,,,,,5683,53501,True
236,64,0,1,0,0,1,0,61,17,196,,,,,,,,,,60690,5683,True
237,58,1,0,1,1,0,0,64,17,191,,,,,,,,,,5683,60690,True
238,65,0,1,0,0,1,0,61,17,2,,,,,,,,,,36841,5683,True
239,56,1,0,1,1,0,0,64,17,190,,,,,,,,,,5683,36841,True
240,61,0,1,0,0,1,0,61,17,16,,,,,,,,,,53087,5683,True
241,57,1,0,1,1,0,0,64,17,188,,,,,,,,,,5683,53087,True
242,63,0,1,0,0,1,0,61,17,12,,,,,,,,,,35528,5683,True
243,474,0,0,1,1,0,0,64,17,141,,,,,,,,,,5683,35528,True
244,67,0,1,0,0,1,0,61,17,211,,,,,,,,,,34407,5683,True
245,56,1,0,1,1,0,0,64,17,28,,,,,,,,,,5683,34407,True
246,62,0,1,0,0,1,0,61,17,50,,,,,,,,,,59749,5683,True
247,55,1,0,1,1,0,0,64,17,26,,,,,,,,,,5683,59749,True
248,64,0,1,0,0,1,0,61,17,5,,,,,,,,,,56217,5683,True
249,57,1,0,1,1,0,0,64,17,25,,,,,,,,,,5683,56217,True
250,65,0,1,0,0,1,0,61,17,35,,,,,,,,,,42952,5683,True
251,56,1,0,1,1,0,0,64,17,24,,,,,,,,,,5683,42952,True
252,61,0,1,0,0,1,0,61,17,1,,,,,,,,,,60027,5683,True
253,58,1,0,1,1,0,0,64,17,23,,,,,,,,,,5683,60027,True
